Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1747498189,100,,Aggregated,44.500000,0.000000,130,140,390,400,400,440,640,710,910,920,920,3704,0,130.0,215.66742788876772,128.41876799984675,921.1091880001732,15169.50782937365
1747498190,100,,Aggregated,45.300000,0.000000,130,140,390,400,400,440,640,710,910,920,920,3744,0,130.0,215.9676634345604,128.41876799984675,921.1091880001732,15292.360576923076
1747498191,100,,Aggregated,44.000000,0.000000,130,140,390,400,400,450,640,710,910,920,920,3795,0,130.0,216.33352787009076,128.41876799984675,921.1091880001732,15369.3884057971
1747498192,100,,Aggregated,45.200000,0.000000,130,140,390,400,400,450,640,710,910,920,920,3835,0,130.0,216.16645307405315,128.41876799984675,921.1091880001732,15389.9778357236
1747498193,100,,Aggregated,44.800000,0.000000,130,140,390,400,400,450,640,710,910,920,920,3886,0,130.0,215.61476680082166,128.41876799984675,921.1091880001732,15308.539886773031
1747498194,100,,Aggregated,44.100000,0.000000,130,140,390,400,400,450,640,710,910,920,920,3934,0,130.0,215.99045145678585,128.41876799984675,921.1091880001732,15476.54829689883
1747498195,100,,Aggregated,44.400000,0.000000,130,140,390,400,400,440,640,710,910,920,920,3977,0,130.0,215.71698958586768,128.41876799984675,921.1091880001732,15466.761880814684
1747498196,100,,Aggregated,45.600000,0.000000,130,140,390,400,400,440,640,710,900,920,920,4021,0,130.0,215.77014750385385,128.41876799984675,921.1091880001732,15550.620243720468
1747498197,100,,Aggregated,44.300000,0.000000,130,140,390,400,400,440,640,710,900,920,920,4066,0,130.0,215.8248542889804,128.41876799984675,921.1091880001732,15629.924249877029
1747498198,100,,Aggregated,44.900000,0.000000,130,140,390,400,400,440,640,710,900,920,920,4115,0,130.0,215.9761880585651,128.41876799984675,921.1091880001732,15750.08432563791
1747498199,100,,Aggregated,44.800000,0.000000,130,140,390,400,400,440,640,710,900,920,920,4157,0,130.0,215.38472175487044,128.41876799984675,921.1091880001732,15668.405821505894
1747498200,100,,Aggregated,44.700000,0.000000,130,140,390,400,400,440,640,710,900,920,920,4207,0,130.0,215.06426082481437,128.41876799984675,921.1091880001732,15653.416686474922
1747498201,100,,Aggregated,45.700000,0.000000,130,140,390,400,400,430,640,710,900,920,920,4246,0,130.0,214.9510337027776,128.41876799984675,921.1091880001732,15698.568535091852
1747498202,100,,Aggregated,45.300000,0.000000,130,140,390,400,400,430,640,710,900,920,920,4290,0,130.0,214.81805202540667,128.41876799984675,921.1091880001732,15688.0
1747498203,100,,Aggregated,45.300000,0.000000,130,140,390,400,400,430,640,710,900,920,920,4339,0,130.0,214.46999622977563,128.41876799984675,921.1091880001732,15678.669739571329
1747498204,100,,Aggregated,45.800000,0.000000,130,140,390,400,400,430,640,710,900,920,920,4386,0,130.0,214.6802783677601,128.41876799984675,921.1091880001732,15786.966484268125
1747498205,100,,Aggregated,45.600000,0.000000,130,140,390,400,400,430,640,710,900,920,920,4424,0,130.0,214.5962483892401,128.41876799984675,921.1091880001732,15816.756555153706
1747498206,100,,Aggregated,45.200000,0.000000,130,140,390,400,400,430,640,710,900,920,920,4479,0,130.0,214.11849027863357,128.41876799984675,921.1091880001732,15769.028801071669
1747498207,100,,Aggregated,44.900000,0.000000,130,140,390,400,400,430,640,710,910,920,920,4522,0,130.0,214.17573895488718,128.41876799984675,921.1091880001732,15799.950022114108
1747498208,100,,Aggregated,45.000000,0.000000,130,140,390,400,400,430,640,710,910,920,920,4570,0,130.0,214.16345166345735,128.41876799984675,921.1091880001732,15867.135667396062
1747498209,100,,Aggregated,45.700000,0.000000,130,140,390,400,400,430,640,710,910,920,920,4614,0,130.0,213.97767306068482,128.41876799984675,921.1091880001732,15876.93714781101
1747498210,100,,Aggregated,45.800000,0.000000,130,140,390,400,400,430,640,710,910,920,920,4662,0,130.0,214.27224686765328,128.41876799984675,921.1091880001732,15997.28314028314
1747498211,100,,Aggregated,45.500000,0.000000,130,140,390,400,400,430,640,710,910,920,920,4703,0,130.0,214.2629069517334,128.41876799984675,921.1091880001732,16052.161173718903
1747498212,100,,Aggregated,45.500000,0.000000,130,140,390,400,400,430,640,710,910,920,920,4752,0,130.0,214.48087928114515,128.41876799984675,921.1091880001732,16166.964225589225
1747498213,100,,Aggregated,46.000000,0.000000,130,140,390,400,400,430,640,710,910,920,920,4797,0,130.0,214.67236782739224,128.41876799984675,921.1091880001732,16258.957264957266
1747498214,100,,Aggregated,45.500000,0.000000,130,140,390,400,400,430,640,710,910,940,940,4837,0,130.0,214.8352678095924,128.41876799984675,942.2609210000701,16315.277031217696
1747498215,100,,Aggregated,45.900000,0.000000,130,140,390,400,400,430,640,710,910,1000,1000,4884,0,130.0,215.24543372072034,128.41876799984675,1027.8578899997228,16467.87162162162
1747498216,100,,Aggregated,45.800000,0.000000,130,140,390,400,400,430,640,710,910,1000,1000,4925,0,130.0,214.88420980223322,128.41876799984675,1027.8578899997228,16417.32649746193
1747498217,100,,Aggregated,46.100000,0.000000,130,140,390,400,400,430,640,710,910,1000,1000,4971,0,130.0,214.93060111466488,128.41876799984675,1027.8578899997228,16487.140012070005
1747498218,100,,Aggregated,45.800000,0.000000,130,140,390,400,400,440,640,710,910,1000,1000,5013,0,130.0,215.27289886913962,128.41876799984675,1027.8578899997228,16619.774386594854
1747498219,100,,Aggregated,45.000000,0.000000,130,140,390,400,410,440,640,710,910,1000,1000,5066,0,130.0,215.33095168101022,128.41876799984675,1027.8578899997228,16664.982037110145
1747498220,100,,Aggregated,44.400000,0.000000,130,140,390,400,410,440,640,710,910,1000,1000,5100,0,130.0,215.49897500019608,128.41876799984675,1027.8578899997228,16721.696274509803
1747498221,100,,Aggregated,44.800000,0.000000,130,140,390,400,410,440,640,710,910,1000,1000,5150,0,130.0,215.59644625009756,128.41876799984675,1027.8578899997228,16809.33436893204
1747498222,100,,Aggregated,45.000000,0.000000,130,140,390,400,410,440,640,710,910,1000,1000,5191,0,130.0,215.86090791562336,128.41876799984675,1027.8578899997228,16908.9799653246
1747498223,100,,Aggregated,43.600000,0.000000,130,140,390,400,410,440,640,710,910,1000,1000,5238,0,130.0,215.92814185681547,128.41876799984675,1027.8578899997228,16972.07655593738
1747498224,100,,Aggregated,44.200000,0.000000,130,140,390,400,410,440,640,710,910,1000,1000,5248,1,130.0,215.95090137004578,128.41876799984675,1027.8578899997228,16989.459032012193
1747498225,100,,Aggregated,44.100000,0.000000,130,140,390,400,410,450,640,710,910,1500,1500,5249,1,130.0,216.186980075062,128.41876799984675,1455.1280240002598,17002.69670413412
